,dropped,model,best_score_f1
297,"['C3', 'C28']",gnbayes,0.6787960306547806
298,"['C3', 'C28']",comnbayes,0.6897549376213025
299,"['C3', 'C28']",svc,0.6731514972278997
300,"['C3', 'C29']",knn,0.600306298370701
301,"['C3', 'C29']",dt,0.6452833744377482
302,"['C3', 'C29']",gnbayes,0.6761818489609172
303,"['C3', 'C29']",comnbayes,0.6893250464590646
304,"['C3', 'C29']",svc,0.6788818550523469
305,"['C4', 'C5']",knn,0.631145225822815
306,"['C4', 'C5']",dt,0.6295432411839131
307,"['C4', 'C5']",gnbayes,0.658933054205237
308,"['C4', 'C5']",comnbayes,0.6763986354201905
309,"['C4', 'C5']",svc,0.6583636425509207
310,"['C4', 'C6']",knn,0.6000421427333194
311,"['C4', 'C6']",dt,0.5905154977928875
312,"['C4', 'C6']",gnbayes,0.6739100778169178
313,"['C4', 'C6']",comnbayes,0.6771944158653452
314,"['C4', 'C6']",svc,0.6675270097204915
315,"['C4', 'C7']",knn,0.5661480742115061
316,"['C4', 'C7']",dt,0.592734190965533
317,"['C4', 'C7']",gnbayes,0.6295468118015457
318,"['C4', 'C7']",comnbayes,0.6293130627459452
319,"['C4', 'C7']",svc,0.6037184169904901
320,"['C4', 'C8']",knn,0.6177914649229492
321,"['C4', 'C8']",dt,0.6133183409833517
322,"['C4', 'C8']",gnbayes,0.6774164023465776
323,"['C4', 'C8']",comnbayes,0.6675600494408116
324,"['C4', 'C8']",svc,0.6619074823131321
325,"['C4', 'C9']",knn,0.6136082037142281
326,"['C4', 'C9']",dt,0.6129983906308931
327,"['C4', 'C9']",gnbayes,0.6652425905909598
328,"['C4', 'C9']",comnbayes,0.6658853931588287
329,"['C4', 'C9']",svc,0.6539859482555863
330,"['C4', 'C13']",knn,0.6006113179092253
331,"['C4', 'C13']",dt,0.6064206065592117
332,"['C4', 'C13']",gnbayes,0.6739978592809255
333,"['C4', 'C13']",comnbayes,0.6780097872691775
334,"['C4', 'C13']",svc,0.6601657427649863
335,"['C4', 'C14']",knn,0.6063483046099414
336,"['C4', 'C14']",dt,0.6198379530927978
337,"['C4', 'C14']",gnbayes,0.6811414715174233
338,"['C4', 'C14']",comnbayes,0.6826275270194048
339,"['C4', 'C14']",svc,0.6664339036225332
340,"['C4', 'C16']",knn,0.6179266680797693
341,"['C4', 'C16']",dt,0.6116417174095063
342,"['C4', 'C16']",gnbayes,0.683685114846229
343,"['C4', 'C16']",comnbayes,0.6853889520687466
344,"['C4', 'C16']",svc,0.6751226412398064
345,"['C4', 'C18']",knn,0.6097738796192318
346,"['C4', 'C18']",dt,0.6087776496322947
347,"['C4', 'C18']",gnbayes,0.6818638841336077
348,"['C4', 'C18']",comnbayes,0.6775605733347648
349,"['C4', 'C18']",svc,0.666461619204094
350,"['C4', 'C19']",knn,0.5888847833699059
351,"['C4', 'C19']",dt,0.6121058058959237
352,"['C4', 'C19']",gnbayes,0.675257611211024
353,"['C4', 'C19']",comnbayes,0.6927342764209596
354,"['C4', 'C19']",svc,0.6702364946621017
355,"['C4', 'C20']",knn,0.6186112552930948
356,"['C4', 'C20']",dt,0.6117823423327411
357,"['C4', 'C20']",gnbayes,0.6812023263689171
358,"['C4', 'C20']",comnbayes,0.682136577455292
359,"['C4', 'C20']",svc,0.6758206385735875
360,"['C4', 'C21']",knn,0.5882454275832592
361,"['C4', 'C21']",dt,0.6360184806396401
362,"['C4', 'C21']",gnbayes,0.6803182491589516
363,"['C4', 'C21']",comnbayes,0.6801514398463328
364,"['C4', 'C21']",svc,0.6617051110142148
365,"['C4', 'C22']",knn,0.6255062400139619
366,"['C4', 'C22']",dt,0.6177065016013357
367,"['C4', 'C22']",gnbayes,0.6777555894739271
368,"['C4', 'C22']",comnbayes,0.6844804837794713
369,"['C4', 'C22']",svc,0.6862283223545503
370,"['C4', 'C23']",knn,0.5991656301112798
371,"['C4', 'C23']",dt,0.6155787613987425
372,"['C4', 'C23']",gnbayes,0.6866158210547137
373,"['C4', 'C23']",comnbayes,0.6851530532578315
374,"['C4', 'C23']",svc,0.6951072655460636
375,"['C4', 'C24']",knn,0.6243337359309604
376,"['C4', 'C24']",dt,0.6164284724314154
377,"['C4', 'C24']",gnbayes,0.6826804719965731
378,"['C4', 'C24']",comnbayes,0.6806629260265756
379,"['C4', 'C24']",svc,0.6767033419934337
380,"['C4', 'C27']",knn,0.6466174359084459
381,"['C4', 'C27']",dt,0.6293242313308234
382,"['C4', 'C27']",gnbayes,0.6762222511590383
383,"['C4', 'C27']",comnbayes,0.6813589602733967
384,"['C4', 'C27']",svc,0.6886606791656129
385,"['C4', 'C28']",knn,0.615540683315375
386,"['C4', 'C28']",dt,0.6069884706368445
387,"['C4', 'C28']",gnbayes,0.681330319843909
388,"['C4', 'C28']",comnbayes,0.6761241128903819
389,"['C4', 'C28']",svc,0.6720508071168877
390,"['C4', 'C29']",knn,0.5965621780879528
391,"['C4', 'C29']",dt,0.6205879126448461
392,"['C4', 'C29']",gnbayes,0.6808496306430297
393,"['C4', 'C29']",comnbayes,0.6814970230936922
394,"['C4', 'C29']",svc,0.6724262521628555
395,"['C5', 'C6']",knn,0.616329566091623
396,"['C5', 'C6']",dt,0.617461019602192
397,"['C5', 'C6']",gnbayes,0.6594247041100505
398,"['C5', 'C6']",comnbayes,0.6825691239682212
399,"['C5', 'C6']",svc,0.6628736064616723
400,"['C5', 'C7']",knn,0.539901899288458
401,"['C5', 'C7']",dt,0.580044998962236
402,"['C5', 'C7']",gnbayes,0.6191624348748284
403,"['C5', 'C7']",comnbayes,0.6270256343727786
404,"['C5', 'C7']",svc,0.589457691169388
405,"['C5', 'C8']",knn,0.6092175272893201
406,"['C5', 'C8']",dt,0.6172206365396802
407,"['C5', 'C8']",gnbayes,0.6770428537727724
408,"['C5', 'C8']",comnbayes,0.6745106452207448
409,"['C5', 'C8']",svc,0.6646661817905954
410,"['C5', 'C9']",knn,0.6134036606691549
411,"['C5', 'C9']",dt,0.642869928936226
412,"['C5', 'C9']",gnbayes,0.6756909479593389
413,"['C5', 'C9']",comnbayes,0.6725758741769752
414,"['C5', 'C9']",svc,0.656842408107791
415,"['C5', 'C13']",knn,0.6032699709983611
416,"['C5', 'C13']",dt,0.6485052715488988
417,"['C5', 'C13']",gnbayes,0.6847942196875043
418,"['C5', 'C13']",comnbayes,0.6819910242481249
419,"['C5', 'C13']",svc,0.6616799944884397
420,"['C5', 'C14']",knn,0.6043126220864041
421,"['C5', 'C14']",dt,0.6503437128281054
422,"['C5', 'C14']",gnbayes,0.6771669848381783
423,"['C5', 'C14']",comnbayes,0.6864081032677953
424,"['C5', 'C14']",svc,0.6626513805449312
425,"['C5', 'C16']",knn,0.6106173842420002
426,"['C5', 'C16']",dt,0.649535570582292
427,"['C5', 'C16']",gnbayes,0.6664944821038865
428,"['C5', 'C16']",comnbayes,0.6913155293006484
429,"['C5', 'C16']",svc,0.6589259397617776
430,"['C5', 'C18']",knn,0.6183366036701008
431,"['C5', 'C18']",dt,0.6509999433206228
432,"['C5', 'C18']",gnbayes,0.6607357214718312
