,dropped,model,best_score_f1
187,"['C23', 'C19', 'C29']",gnbayes,0.6969303400984086
188,"['C23', 'C19', 'C29']",comnbayes,0.7007718147627061
189,"['C23', 'C19', 'C29']",svc,0.7085686695144354
190,"['C23', 'C19', 'C28']",knn,0.5994087816921476
191,"['C23', 'C19', 'C28']",dt,0.6556128857443522
192,"['C23', 'C19', 'C28']",gnbayes,0.6899504454685838
193,"['C23', 'C19', 'C28']",comnbayes,0.6928197150959592
194,"['C23', 'C19', 'C28']",svc,0.6974989387187026
195,"['C23', 'C14', 'C27']",knn,0.6243487658790755
196,"['C23', 'C14', 'C27']",dt,0.6374910634695142
197,"['C23', 'C14', 'C27']",gnbayes,0.6952560070317055
198,"['C23', 'C14', 'C27']",comnbayes,0.6807900542501649
199,"['C23', 'C14', 'C27']",svc,0.6969792194532527
200,"['C23', 'C14', 'C29']",knn,0.6149648421403084
201,"['C23', 'C14', 'C29']",dt,0.6596186938963805
202,"['C23', 'C14', 'C29']",gnbayes,0.6917776900192256
203,"['C23', 'C14', 'C29']",comnbayes,0.6938476833402485
204,"['C23', 'C14', 'C29']",svc,0.6936370101746947
205,"['C23', 'C14', 'C28']",knn,0.5967908140311613
206,"['C23', 'C14', 'C28']",dt,0.6566765223860359
207,"['C23', 'C14', 'C28']",gnbayes,0.6871131605937497
208,"['C23', 'C14', 'C28']",comnbayes,0.692209678764358
209,"['C23', 'C14', 'C28']",svc,0.6928340252635938
210,"['C23', 'C27', 'C29']",knn,0.600649893685914
211,"['C23', 'C27', 'C29']",dt,0.6378111539953017
212,"['C23', 'C27', 'C29']",gnbayes,0.6936379096105175
213,"['C23', 'C27', 'C29']",comnbayes,0.6899388746025669
214,"['C23', 'C27', 'C29']",svc,0.7123616445218062
215,"['C23', 'C27', 'C28']",knn,0.6108220042593381
216,"['C23', 'C27', 'C28']",dt,0.6294626686920213
217,"['C23', 'C27', 'C28']",gnbayes,0.6892062503427748
218,"['C23', 'C27', 'C28']",comnbayes,0.6868425757363251
219,"['C23', 'C27', 'C28']",svc,0.6824141891230513
220,"['C23', 'C29', 'C28']",knn,0.6180158656202928
221,"['C23', 'C29', 'C28']",dt,0.6509138259960577
222,"['C23', 'C29', 'C28']",gnbayes,0.685377283086791
223,"['C23', 'C29', 'C28']",comnbayes,0.6915168026640712
224,"['C23', 'C29', 'C28']",svc,0.7008575656449176
225,"['C24', 'C19', 'C14']",knn,0.580649076916616
226,"['C24', 'C19', 'C14']",dt,0.6564604766897487
227,"['C24', 'C19', 'C14']",gnbayes,0.6871017043710826
228,"['C24', 'C19', 'C14']",comnbayes,0.701825820462305
229,"['C24', 'C19', 'C14']",svc,0.6748756572009245
230,"['C24', 'C19', 'C27']",knn,0.6042312440249844
231,"['C24', 'C19', 'C27']",dt,0.6484182271666209
232,"['C24', 'C19', 'C27']",gnbayes,0.6803660207551222
233,"['C24', 'C19', 'C27']",comnbayes,0.6903740499052382
234,"['C24', 'C19', 'C27']",svc,0.670177129709406
235,"['C24', 'C19', 'C29']",knn,0.6059988316656931
236,"['C24', 'C19', 'C29']",dt,0.6586440109181104
237,"['C24', 'C19', 'C29']",gnbayes,0.688264615067103
238,"['C24', 'C19', 'C29']",comnbayes,0.697392919077158
239,"['C24', 'C19', 'C29']",svc,0.6829212569675971
240,"['C24', 'C19', 'C28']",knn,0.5995298589697068
241,"['C24', 'C19', 'C28']",dt,0.6557837132404869
242,"['C24', 'C19', 'C28']",gnbayes,0.6876559057344511
243,"['C24', 'C19', 'C28']",comnbayes,0.702044046130596
244,"['C24', 'C19', 'C28']",svc,0.6745189621049874
245,"['C24', 'C14', 'C27']",knn,0.6127830610393712
246,"['C24', 'C14', 'C27']",dt,0.6389678180895039
247,"['C24', 'C14', 'C27']",gnbayes,0.6849376940176745
248,"['C24', 'C14', 'C27']",comnbayes,0.6954367262542929
249,"['C24', 'C14', 'C27']",svc,0.6903337219547422
250,"['C24', 'C14', 'C29']",knn,0.6214571659569135
251,"['C24', 'C14', 'C29']",dt,0.6554626989386122
252,"['C24', 'C14', 'C29']",gnbayes,0.6880544649089163
253,"['C24', 'C14', 'C29']",comnbayes,0.6945764362864157
254,"['C24', 'C14', 'C29']",svc,0.6731597365151624
255,"['C24', 'C14', 'C28']",knn,0.5926501566193026
256,"['C24', 'C14', 'C28']",dt,0.6546723090618682
257,"['C24', 'C14', 'C28']",gnbayes,0.6898834923721853
258,"['C24', 'C14', 'C28']",comnbayes,0.6953482901013801
259,"['C24', 'C14', 'C28']",svc,0.6790088245837287
260,"['C24', 'C27', 'C29']",knn,0.6367152465810104
261,"['C24', 'C27', 'C29']",dt,0.6425778637662314
262,"['C24', 'C27', 'C29']",gnbayes,0.6874003939229948
263,"['C24', 'C27', 'C29']",comnbayes,0.6955718009589893
264,"['C24', 'C27', 'C29']",svc,0.6908614009382541
265,"['C24', 'C27', 'C28']",knn,0.6239144641565895
266,"['C24', 'C27', 'C28']",dt,0.6307862575517154
267,"['C24', 'C27', 'C28']",gnbayes,0.690232570126442
268,"['C24', 'C27', 'C28']",comnbayes,0.6936001488970617
269,"['C24', 'C27', 'C28']",svc,0.6878893365804779
270,"['C24', 'C29', 'C28']",knn,0.6099749475444611
271,"['C24', 'C29', 'C28']",dt,0.6497703707054053
272,"['C24', 'C29', 'C28']",gnbayes,0.6889786158261495
273,"['C24', 'C29', 'C28']",comnbayes,0.6924097305491472
274,"['C24', 'C29', 'C28']",svc,0.6743425642396332
275,"['C19', 'C14', 'C27']",knn,0.5934691674065522
276,"['C19', 'C14', 'C27']",dt,0.6315039076159381
277,"['C19', 'C14', 'C27']",gnbayes,0.6819354671578316
278,"['C19', 'C14', 'C27']",comnbayes,0.6938894406186528
279,"['C19', 'C14', 'C27']",svc,0.6828058930993083
280,"['C19', 'C14', 'C29']",knn,0.5952064293810164
281,"['C19', 'C14', 'C29']",dt,0.6662283220225986
282,"['C19', 'C14', 'C29']",gnbayes,0.6877692850038885
283,"['C19', 'C14', 'C29']",comnbayes,0.6948318839841378
284,"['C19', 'C14', 'C29']",svc,0.6763059055342451
285,"['C19', 'C14', 'C28']",knn,0.573608467049243
286,"['C19', 'C14', 'C28']",dt,0.6662283220225986
287,"['C19', 'C14', 'C28']",gnbayes,0.6766035867688913
288,"['C19', 'C14', 'C28']",comnbayes,0.7003758302500712
289,"['C19', 'C14', 'C28']",svc,0.6661598238356279
290,"['C19', 'C27', 'C29']",knn,0.6109007291104884
291,"['C19', 'C27', 'C29']",dt,0.6416741069883725
292,"['C19', 'C27', 'C29']",gnbayes,0.682068535688792
293,"['C19', 'C27', 'C29']",comnbayes,0.6992031341370248
294,"['C19', 'C27', 'C29']",svc,0.6847797016514983
295,"['C19', 'C27', 'C28']",knn,0.5854609102643183
296,"['C19', 'C27', 'C28']",dt,0.6286785215034105
297,"['C19', 'C27', 'C28']",gnbayes,0.6745489149261297
298,"['C19', 'C27', 'C28']",comnbayes,0.6913924889105783
299,"['C19', 'C27', 'C28']",svc,0.6845106729666515
300,"['C19', 'C29', 'C28']",knn,0.5829453601433479
301,"['C19', 'C29', 'C28']",dt,0.6573626302176986
302,"['C19', 'C29', 'C28']",gnbayes,0.6766262674583124
303,"['C19', 'C29', 'C28']",comnbayes,0.6974190096804171
304,"['C19', 'C29', 'C28']",svc,0.6914530693382702
305,"['C14', 'C27', 'C29']",knn,0.6397722273743239
306,"['C14', 'C27', 'C29']",dt,0.6385733622909231
307,"['C14', 'C27', 'C29']",gnbayes,0.6829818756998446
308,"['C14', 'C27', 'C29']",comnbayes,0.69109907220204
309,"['C14', 'C27', 'C29']",svc,0.6923411244240211
310,"['C14', 'C27', 'C28']",knn,0.6106750571965336
311,"['C14', 'C27', 'C28']",dt,0.6276575808030921
312,"['C14', 'C27', 'C28']",gnbayes,0.6820080355813846
313,"['C14', 'C27', 'C28']",comnbayes,0.6905494386965738
314,"['C14', 'C27', 'C28']",svc,0.7102738689713093
315,"['C14', 'C29', 'C28']",knn,0.6149863513645901
316,"['C14', 'C29', 'C28']",dt,0.6590440498281903
317,"['C14', 'C29', 'C28']",gnbayes,0.6796868549848745
318,"['C14', 'C29', 'C28']",comnbayes,0.6929939242163693
319,"['C14', 'C29', 'C28']",svc,0.6730040114346355
320,"['C27', 'C29', 'C28']",knn,0.6026354647771732
321,"['C27', 'C29', 'C28']",dt,0.6286785215034105
322,"['C27', 'C29', 'C28']",gnbayes,0.675175748808187
323,"['C27', 'C29', 'C28']",comnbayes,0.6910206168162814
324,"['C27', 'C29', 'C28']",svc,0.6946048700928347
325,"['C23', 'C24', 'C19', 'C14']",knn,0.6127768457755645
326,"['C23', 'C24', 'C19', 'C14']",dt,0.6549850094216033
327,"['C23', 'C24', 'C19', 'C14']",gnbayes,0.6975764811930225
328,"['C23', 'C24', 'C19', 'C14']",comnbayes,0.7027206844139475
329,"['C23', 'C24', 'C19', 'C14']",svc,0.686276048127174
330,"['C23', 'C24', 'C19', 'C27']",knn,0.6279237768672468
331,"['C23', 'C24', 'C19', 'C27']",dt,0.6450385217656389
332,"['C23', 'C24', 'C19', 'C27']",gnbayes,0.6940411586623901
333,"['C23', 'C24', 'C19', 'C27']",comnbayes,0.6979771332359361
334,"['C23', 'C24', 'C19', 'C27']",svc,0.6686726941485608
335,"['C23', 'C24', 'C19', 'C29']",knn,0.5955602112314138
